model	dataset	N	oov	hyper_num	method	AP	F1	Accuracy	window_size	neg_sample	epoch	emb_dim	batch_size	learning_rate	epsilon	epoch_num	loss	loss_word2vec	run
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	word2vec	0.8055984503740206	0.7584097859327217	0.759581881533101	10	15	15	100	128	0.001	1e-08	9	6361.400537967682	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	rnd	0.49379913086941013	0.6517119244391971	0.5331010452961672	10	15	15	100	128	0.001	1e-08	9	6361.400537967682	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	9	6361.400537967682	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5920057744809013	0.6494117647058824	0.5958188153310104	10	15	15	100	128	0.001	1e-08	9	6361.400537967682	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	dot_product	0.7545113624239906	0.7345575959933223	0.7247386759581882	10	15	15	100	128	0.001	1e-08	9	6361.400537967682	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_dot_product	0.5582896938581536	0.6494117647058824	0.5923344947735192	10	15	15	100	128	0.001	1e-08	9	6361.400537967682	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	word2vec	0.8089393446380619	0.7660910518053374	0.7630662020905923	10	15	15	100	128	0.001	1e-08	10	6360.047160744667	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	rnd	0.4921745895550711	0.6494117647058824	0.5331010452961672	10	15	15	100	128	0.001	1e-08	10	6360.047160744667	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation	0.5039741809566273	0.6494117647058824	0.5505226480836237	10	15	15	100	128	0.001	1e-08	10	6360.047160744667	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	574	471	276	summation_word2vec	0.5947580912540346	0.6494117647058824	0.5993031358885017	10	15	15	100	128	0.001	1e-08	10	6360.047160744667	0.0	0
